Date,Close,High,Low,Open,Volume,Fraud_Prediction
,TCS.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS,
2024-11-12,4136.4912109375,4156.792379489953,4103.92099370928,4154.821401595459,1587640,1
2024-11-13,4090.124267578125,4135.850859823102,4071.104041624794,4117.47158666077,1098813,1
2024-11-14,4085.73876953125,4099.63426074071,4056.7164070519016,4074.997035616066,1825432,1
2024-11-18,3961.17333984375,4151.865475994954,3932.2984618056635,4151.865475994954,3313944,1
2024-11-19,3980.9326171875,4072.188765211728,3955.851967238544,3961.5676116481195,1776233,1
2024-11-21,4013.749267578125,4033.064709051959,3965.6080301184593,3986.204655506895,2384347,1
2024-11-22,4183.0068359375,4193.206743644381,3995.1725304474053,4011.9258439692617,3096553,1
2024-11-25,4252.48388671875,4265.295244341108,4190.496721846663,4217.89312489922,4052167,1
2024-11-26,4289.53857421875,4303.236776393483,4247.45799740418,4258.347459420346,2060669,1
2024-11-27,4269.6806640625,4313.879947019853,4261.304006601975,4295.697961602462,1558993,1
2024-11-28,4183.30224609375,4276.973266192127,4171.57502299117,4256.327078738215,2558544,1
2024-11-29,4208.8759765625,4236.32194265591,4134.767008032492,4158.76376247456,2017425,1
2024-12-02,4214.59130859375,4225.973994918185,4168.667426338619,4208.037903180413,1670944,1
2024-12-03,4240.31298828125,4262.240119532022,4203.554439381881,4251.744757442165,2010905,1
2024-12-04,4291.21337890625,4323.291335871028,4226.81157391255,4250.956055389001,3302642,1
2024-12-05,4399.2724609375,4423.860606665184,4296.732511708666,4336.940274844479,3746747,1
2024-12-06,4380.99169921875,4400.208736252777,4348.7169318923725,4388.38286730876,1842087,1
2024-12-09,4387.544921875,4404.544607771133,4351.47592686491,4366.160098479674,2066639,1
2024-12-10,4368.2294921875,4428.590699209594,4348.076528927836,4361.922458223545,2087828,1
2024-12-11,4363.2041015625,4384.096182690506,4343.050656096367,4367.540157555417,1635256,1
2024-12-12,4390.3046875,4419.918441323063,4361.774586688044,4365.765624909234,1914642,1
2024-12-13,4408.97900390625,4429.6742722634,4330.632630839897,4370.594497266055,1967048,1
2024-12-16,4351.13134765625,4410.063399035425,4333.195254873467,4394.295574591947,1646224,1
2024-12-17,4265.689453125,4368.623979293737,4255.341817856936,4346.0068125866355,3225027,1
2024-12-18,4284.7587890625,4298.703363293438,4227.354050201463,4249.133455090055,1575404,1
2024-12-19,4209.91064453125,4300.674283743088,4200.154399017653,4219.864180336366,3015763,1
2024-12-20,4109.78466796875,4318.412885998388,4092.2431558896187,4266.181967934054,4116989,1
2024-12-23,4097.958984375,4155.807384938678,4055.1888552154614,4139.1031528173025,2195338,1
2024-12-24,4118.8515625,4156.792891643738,4097.959001765894,4097.959001765894,1181886,1
2024-12-26,4108.6025390625,4139.004972823218,4083.028905459881,4118.851529054263,1208464,1
2024-12-27,4104.4140625,4120.2805320435555,4087.0693594187683,4102.59081156437,858100,1
2024-12-30,4098.45166015625,4138.363966598421,4052.330965190293,4090.765038060532,1527169,1
2024-12-31,4035.380859375,4079.875837090253,3973.5414176669124,4074.997473513026,1555429,1
